,subgroup,modeldate,approve_estimate,disapprove_estimate,M_Month,M_Day,M_Year
436,Adults,4/18/2019,40.60906,53.978840000000005,4,18,2019
437,All polls,4/18/2019,41.95035,52.98346,4,18,2019
438,Voters,4/17/2019,42.84515,52.404090000000004,4,17,2019
439,Adults,4/17/2019,40.564040000000006,54.021719999999995,4,17,2019
440,All polls,4/17/2019,41.95601,52.95944,4,17,2019
441,Voters,4/16/2019,42.57107,52.47728000000001,4,16,2019
442,Adults,4/16/2019,41.11728,52.8999,4,16,2019
443,All polls,4/16/2019,42.118320000000004,52.300959999999996,4,16,2019
444,Voters,4/15/2019,42.35459,52.54155,4,15,2019
445,Adults,4/15/2019,41.01833,52.929359999999996,4,15,2019
446,All polls,4/15/2019,41.94808,52.335840000000005,4,15,2019
447,All polls,4/14/2019,42.18553,52.595780000000005,4,14,2019
448,Voters,4/14/2019,42.5415,52.95231999999999,4,14,2019
449,Adults,4/14/2019,41.31856,53.04156999999999,4,14,2019
450,Voters,4/13/2019,42.51073,52.9668,4,13,2019
451,All polls,4/13/2019,42.12738,52.58899,4,13,2019
452,Adults,4/13/2019,41.25759,53.018530000000005,4,13,2019
453,Adults,4/12/2019,41.25759,53.018530000000005,4,12,2019
454,Voters,4/12/2019,42.51073,52.9668,4,12,2019
455,All polls,4/12/2019,42.12738,52.58899,4,12,2019
456,Voters,4/11/2019,42.612390000000005,52.894580000000005,4,11,2019
457,Adults,4/11/2019,40.850190000000005,53.387190000000004,4,11,2019
458,All polls,4/11/2019,41.876290000000004,52.801080000000006,4,11,2019
459,Adults,4/10/2019,40.850190000000005,53.387190000000004,4,10,2019
460,Voters,4/10/2019,42.56272,52.909209999999995,4,10,2019
461,All polls,4/10/2019,41.85086,52.79881999999999,4,10,2019
462,Voters,4/9/2019,42.64828,52.77839,4,9,2019
463,Adults,4/9/2019,41.09583,53.26064,4,9,2019
464,All polls,4/9/2019,41.98899,52.748000000000005,4,9,2019
465,Voters,4/8/2019,43.32839,52.146390000000004,4,8,2019
466,Adults,4/8/2019,41.51352,52.870709999999995,4,8,2019
467,All polls,4/8/2019,42.31174,52.452780000000004,4,8,2019
468,Voters,4/7/2019,43.223040000000005,52.287729999999996,4,7,2019
469,Adults,4/7/2019,41.31673,53.240809999999996,4,7,2019
470,All polls,4/7/2019,42.138690000000004,52.79356,4,7,2019
471,Voters,4/6/2019,43.266009999999994,52.19761,4,6,2019
472,Adults,4/6/2019,41.36978,53.1011,4,6,2019
473,All polls,4/6/2019,42.17388,52.684309999999996,4,6,2019
474,Adults,4/5/2019,41.441790000000005,53.02666,4,5,2019
475,Voters,4/5/2019,43.292229999999996,52.11568,4,5,2019
476,All polls,4/5/2019,42.23625,52.604119999999995,4,5,2019
477,Voters,4/4/2019,43.209590000000006,52.20429,4,4,2019
478,Adults,4/4/2019,41.501740000000005,52.8595,4,4,2019
479,All polls,4/4/2019,42.1402,52.624559999999995,4,4,2019
480,Adults,4/3/2019,41.46787,52.86533000000001,4,3,2019
481,Voters,4/3/2019,43.22319,52.168929999999996,4,3,2019
482,All polls,4/3/2019,42.15228,52.608740000000004,4,3,2019
483,Voters,4/2/2019,43.02574,52.37064,4,2,2019
484,Adults,4/2/2019,41.35085,52.91891,4,2,2019
485,All polls,4/2/2019,41.921929999999996,52.84185,4,2,2019
486,Voters,4/1/2019,43.14048,52.45205,4,1,2019
487,Adults,4/1/2019,41.54586,52.78931,4,1,2019
488,All polls,4/1/2019,42.13772,52.793119999999995,4,1,2019
489,Voters,3/31/2019,43.12605,52.59381,3,31,2019
490,Adults,3/31/2019,41.54586,52.78931,3,31,2019
491,All polls,3/31/2019,42.13171,52.86796,3,31,2019
492,Adults,3/30/2019,41.17068,52.6919,3,30,2019
493,Voters,3/30/2019,43.04285,52.62777,3,30,2019
494,All polls,3/30/2019,41.94569,52.788999999999994,3,30,2019
495,Adults,3/29/2019,41.17068,52.6919,3,29,2019
496,Voters,3/29/2019,43.04285,52.62777,3,29,2019
497,All polls,3/29/2019,41.94569,52.788999999999994,3,29,2019
498,Voters,3/28/2019,42.69593,52.95423,3,28,2019
499,Adults,3/28/2019,40.98962,52.74918,3,28,2019
500,All polls,3/28/2019,41.881370000000004,52.78539,3,28,2019
501,Adults,3/27/2019,40.99378,52.839209999999994,3,27,2019
502,Voters,3/27/2019,42.65763,52.95763,3,27,2019
503,All polls,3/27/2019,41.889990000000004,52.84111,3,27,2019
504,Voters,3/26/2019,42.41875,53.18531,3,26,2019
505,Adults,3/26/2019,41.01191,53.49006,3,26,2019
506,All polls,3/26/2019,41.903659999999995,53.24884,3,26,2019
507,Voters,3/25/2019,43.39223,52.39909,3,25,2019
508,Adults,3/25/2019,40.82512,53.5863,3,25,2019
509,All polls,3/25/2019,42.33524,52.77616999999999,3,25,2019
510,Voters,3/24/2019,43.184470000000005,52.44268,3,24,2019
511,Adults,3/24/2019,40.82304,53.60898,3,24,2019
512,All polls,3/24/2019,42.149770000000004,52.85468,3,24,2019
513,Adults,3/23/2019,40.82338,53.548069999999996,3,23,2019
514,Voters,3/23/2019,42.87403,52.619690000000006,3,23,2019
515,All polls,3/23/2019,41.88325,52.936130000000006,3,23,2019
516,Voters,3/22/2019,42.87403,52.619690000000006,3,22,2019
517,Adults,3/22/2019,40.82338,53.548069999999996,3,22,2019
518,All polls,3/22/2019,41.88325,52.936130000000006,3,22,2019
519,Voters,3/21/2019,42.63582,52.73285,3,21,2019
520,Adults,3/21/2019,40.88237,53.520680000000006,3,21,2019
521,All polls,3/21/2019,41.64378,53.1006,3,21,2019
522,Voters,3/20/2019,42.53457,52.814809999999994,3,20,2019
523,Adults,3/20/2019,40.59555,53.7851,3,20,2019
524,All polls,3/20/2019,41.412620000000004,53.291419999999995,3,20,2019
525,Voters,3/19/2019,42.55615,52.7708,3,19,2019
526,Adults,3/19/2019,40.83169,53.699380000000005,3,19,2019
527,All polls,3/19/2019,41.53641,53.26685,3,19,2019
528,Voters,3/18/2019,42.857009999999995,52.62822,3,18,2019
529,Adults,3/18/2019,41.16959,53.30325,3,18,2019
530,All polls,3/18/2019,41.58909,53.22648,3,18,2019
531,Voters,3/17/2019,42.72636,53.191280000000006,3,17,2019
532,Adults,3/17/2019,40.92827,53.974019999999996,3,17,2019
533,All polls,3/17/2019,41.43812,53.68518,3,17,2019
534,Voters,3/16/2019,42.72493,53.17706,3,16,2019
535,Adults,3/16/2019,40.97558,53.952290000000005,3,16,2019
536,All polls,3/16/2019,41.46376,53.663219999999995,3,16,2019
537,Voters,3/15/2019,42.682559999999995,53.225840000000005,3,15,2019
538,Adults,3/15/2019,40.90125,54.041380000000004,3,15,2019
539,All polls,3/15/2019,41.413540000000005,53.716269999999994,3,15,2019
540,Adults,3/14/2019,41.15266,53.7949,3,14,2019
541,Voters,3/14/2019,42.82355,53.000769999999996,3,14,2019
542,All polls,3/14/2019,41.64219,53.44601,3,14,2019
543,Voters,3/13/2019,42.64162,53.09475,3,13,2019
544,Adults,3/13/2019,41.349090000000004,53.63763,3,13,2019
545,All polls,3/13/2019,41.71772,53.33713,3,13,2019
546,Adults,3/12/2019,41.39862,53.612359999999995,3,12,2019
547,Voters,3/12/2019,42.51807,53.17521,3,12,2019
548,All polls,3/12/2019,41.73809,53.3085,3,12,2019
549,Voters,3/11/2019,42.5494,53.29485,3,11,2019
550,Adults,3/11/2019,41.28474,53.91755,3,11,2019
551,All polls,3/11/2019,41.73955,53.42961999999999,3,11,2019
552,Voters,3/10/2019,42.57926,53.273019999999995,3,10,2019
553,Adults,3/10/2019,41.27819,53.898630000000004,3,10,2019
554,All polls,3/10/2019,41.76654,53.39281,3,10,2019
555,Voters,3/9/2019,42.57926,53.273019999999995,3,9,2019
556,Adults,3/9/2019,41.27819,53.898630000000004,3,9,2019
557,All polls,3/9/2019,41.76654,53.39281,3,9,2019
558,Adults,3/8/2019,41.28119,53.91053,3,8,2019
559,Voters,3/8/2019,42.54274,53.28021999999999,3,8,2019
560,All polls,3/8/2019,41.76988,53.388419999999996,3,8,2019
561,Voters,3/7/2019,42.43244,53.3085,3,7,2019
562,Adults,3/7/2019,41.66734,53.600809999999996,3,7,2019
563,All polls,3/7/2019,41.93483,53.25356,3,7,2019
564,Voters,3/6/2019,42.23935,53.51493000000001,3,6,2019
565,Adults,3/6/2019,41.66734,53.600809999999996,3,6,2019
566,All polls,3/6/2019,41.81863,53.379259999999995,3,6,2019
567,Voters,3/5/2019,41.768029999999996,53.5519,3,5,2019
568,Adults,3/5/2019,41.18424,54.04747,3,5,2019
569,All polls,3/5/2019,41.49785,53.62849,3,5,2019
570,Voters,3/4/2019,42.55911,53.188790000000004,3,4,2019
571,Adults,3/4/2019,41.45337,53.920069999999996,3,4,2019
572,All polls,3/4/2019,42.13333,53.36767,3,4,2019
573,Voters,3/3/2019,42.64135,53.16066,3,3,2019
574,Adults,3/3/2019,41.35925,54.03245,3,3,2019
575,All polls,3/3/2019,42.26125,53.3456,3,3,2019
576,Voters,3/2/2019,42.73643,52.95174,3,2,2019
577,Adults,3/2/2019,40.74055,54.06101999999999,3,2,2019
578,All polls,3/2/2019,41.960229999999996,53.26044,3,2,2019
579,Voters,3/1/2019,42.83979,52.84579,3,1,2019
580,Adults,3/1/2019,40.70159,54.09611999999999,3,1,2019
581,All polls,3/1/2019,41.958079999999995,53.246559999999995,3,1,2019
582,Voters,2/28/2019,42.89241,53.024609999999996,2,28,2019
583,Adults,2/28/2019,41.04222,54.126490000000004,2,28,2019
584,All polls,2/28/2019,42.27412,53.30392,2,28,2019
585,Adults,2/27/2019,41.07079,54.09288000000001,2,27,2019
586,Voters,2/27/2019,42.751509999999996,53.1054,2,27,2019
587,All polls,2/27/2019,42.235,53.31298,2,27,2019
588,Voters,2/26/2019,42.69373,53.29458,2,26,2019
589,Adults,2/26/2019,41.063990000000004,54.10258,2,26,2019
590,All polls,2/26/2019,42.25564,53.35224,2,26,2019
591,Adults,2/25/2019,41.35035,54.03788,2,25,2019
592,Voters,2/25/2019,43.19084,52.90681,2,25,2019
593,All polls,2/25/2019,42.62473,53.11496999999999,2,25,2019
594,Adults,2/24/2019,41.29942,54.0314,2,24,2019
595,Voters,2/24/2019,43.2385,52.73145,2,24,2019
596,All polls,2/24/2019,42.70221,53.03767,2,24,2019
597,All polls,2/23/2019,42.69892,52.977990000000005,2,23,2019
598,Voters,2/23/2019,43.259570000000004,52.71745,2,23,2019
599,Adults,2/23/2019,41.271640000000005,53.98615,2,23,2019
600,Voters,2/22/2019,43.259570000000004,52.71745,2,22,2019
601,Adults,2/22/2019,41.271640000000005,53.98615,2,22,2019
602,All polls,2/22/2019,42.69892,52.977990000000005,2,22,2019
603,Adults,2/21/2019,41.335809999999995,53.975609999999996,2,21,2019
604,Voters,2/21/2019,42.85559,53.03147,2,21,2019
605,All polls,2/21/2019,42.45333,53.22051999999999,2,21,2019
606,Voters,2/20/2019,42.88668,53.05883000000001,2,20,2019
607,Adults,2/20/2019,40.6429,54.50671,2,20,2019
608,All polls,2/20/2019,42.02028,53.554840000000006,2,20,2019
609,Voters,2/19/2019,42.7675,53.162409999999994,2,19,2019
610,Adults,2/19/2019,40.58351,54.61046999999999,2,19,2019
611,All polls,2/19/2019,41.94509,53.63932,2,19,2019
612,Voters,2/18/2019,42.97749,53.24595,2,18,2019
613,Adults,2/18/2019,40.14311,55.0954,2,18,2019
614,All polls,2/18/2019,41.84088,53.80351999999999,2,18,2019
615,Voters,2/17/2019,42.96331,53.19065,2,17,2019
616,Adults,2/17/2019,40.15818,54.96553,2,17,2019
617,All polls,2/17/2019,41.84582,53.70815,2,17,2019
618,Voters,2/16/2019,42.95282,53.17573,2,16,2019
619,Adults,2/16/2019,40.04198,55.03495,2,16,2019
620,All polls,2/16/2019,41.77002,53.744890000000005,2,16,2019
621,Voters,2/15/2019,42.90593,53.408469999999994,2,15,2019
622,Adults,2/15/2019,40.04198,55.03495,2,15,2019
623,All polls,2/15/2019,41.65232,53.969609999999996,2,15,2019
624,Voters,2/14/2019,42.84945,53.41948000000001,2,14,2019
625,Adults,2/14/2019,39.94764,55.07406999999999,2,14,2019
626,All polls,2/14/2019,41.50784,54.090669999999996,2,14,2019
627,Voters,2/13/2019,42.83984,53.41368000000001,2,13,2019
628,Adults,2/13/2019,39.785070000000005,55.22071999999999,2,13,2019
629,All polls,2/13/2019,41.47137,54.1261,2,13,2019
630,Adults,2/12/2019,39.2173,55.909380000000006,2,12,2019
631,Voters,2/12/2019,42.27277,53.68688,2,12,2019
632,All polls,2/12/2019,40.46846,54.94781,2,12,2019
633,Voters,2/11/2019,42.14777,53.9542,2,11,2019
634,Adults,2/11/2019,39.3547,55.72991,2,11,2019
635,All polls,2/11/2019,40.36388,55.08048,2,11,2019
636,Voters,2/10/2019,42.04487,54.05088000000001,2,10,2019
637,All polls,2/10/2019,40.221790000000006,55.14785,2,10,2019
638,Adults,2/10/2019,39.30507,55.649680000000004,2,10,2019
639,Adults,2/9/2019,39.29391,55.66656999999999,2,9,2019
640,All polls,2/9/2019,40.2227,55.14678000000001,2,9,2019
641,Voters,2/9/2019,41.98431,54.07937,2,9,2019
642,Voters,2/8/2019,41.98431,54.07937,2,8,2019
643,Adults,2/8/2019,39.29391,55.66656999999999,2,8,2019
644,All polls,2/8/2019,40.2227,55.14678000000001,2,8,2019
645,Voters,2/7/2019,41.761540000000004,54.25366999999999,2,7,2019
646,Adults,2/7/2019,39.245,55.73035,2,7,2019
647,All polls,2/7/2019,40.06154,55.33101,2,7,2019
648,Adults,2/6/2019,39.173359999999995,55.76817,2,6,2019
649,Voters,2/6/2019,41.620540000000005,54.38211,2,6,2019
650,All polls,2/6/2019,39.96864,55.41613,2,6,2019
651,Voters,2/5/2019,41.49454,54.59675,2,5,2019
652,Adults,2/5/2019,39.29878,55.76375,2,5,2019
653,All polls,2/5/2019,39.93347,55.553169999999994,2,5,2019
654,Voters,2/4/2019,41.01645,55.089819999999996,2,4,2019
655,Adults,2/4/2019,39.283590000000004,55.83174,2,4,2019
656,All polls,2/4/2019,39.78125,55.73052,2,4,2019
657,Voters,2/3/2019,40.7788,55.350030000000004,2,3,2019
658,Adults,2/3/2019,38.89598,56.25001999999999,2,3,2019
659,All polls,2/3/2019,39.53487,55.9651,2,3,2019
660,Voters,2/2/2019,40.76747,55.30098,2,2,2019
661,Adults,2/2/2019,38.97214,56.179840000000006,2,2,2019
662,All polls,2/2/2019,39.5565,55.92448,2,2,2019
663,Voters,2/1/2019,40.72831,55.30826999999999,2,1,2019
664,Adults,2/1/2019,38.92126,56.18649,2,1,2019
665,All polls,2/1/2019,39.50685,55.9334,2,1,2019
666,Voters,1/31/2019,40.76448,55.20304,1,31,2019
667,Adults,1/31/2019,38.8746,56.21391,1,31,2019
668,All polls,1/31/2019,39.50443,55.90749,1,31,2019
669,Voters,1/30/2019,40.77748,55.217909999999996,1,30,2019
670,Adults,1/30/2019,38.8746,56.21391,1,30,2019
671,All polls,1/30/2019,39.51259,55.92021999999999,1,30,2019
672,Voters,1/29/2019,40.87305,55.138580000000005,1,29,2019
673,Adults,1/29/2019,39.12983,56.15456,1,29,2019
674,All polls,1/29/2019,39.78958,55.77966,1,29,2019
675,Adults,1/28/2019,39.04753,56.288090000000004,1,28,2019
676,Voters,1/28/2019,40.9616,55.31766999999999,1,28,2019
677,All polls,1/28/2019,39.76567,55.89702,1,28,2019
678,Voters,1/27/2019,40.426159999999996,55.58136,1,27,2019
679,Adults,1/27/2019,38.52261,56.46836,1,27,2019
680,All polls,1/27/2019,39.42558,56.03046,1,27,2019
681,Adults,1/26/2019,38.25626,56.422880000000006,1,26,2019
682,Voters,1/26/2019,40.40027,55.53305,1,26,2019
683,All polls,1/26/2019,39.2754,55.98466,1,26,2019
684,Voters,1/25/2019,40.40027,55.53305,1,25,2019
685,Adults,1/25/2019,38.25626,56.422880000000006,1,25,2019
686,All polls,1/25/2019,39.2754,55.98466,1,25,2019
687,Voters,1/24/2019,41.03642,54.96578,1,24,2019
688,Adults,1/24/2019,38.58607,56.322019999999995,1,24,2019
689,All polls,1/24/2019,39.53005,55.883219999999994,1,24,2019
690,Voters,1/23/2019,41.07663,54.946780000000004,1,23,2019
691,Adults,1/23/2019,38.50995,56.306509999999996,1,23,2019
692,All polls,1/23/2019,39.52579,55.86371,1,23,2019
693,Adults,1/22/2019,39.42207,55.195159999999994,1,22,2019
694,Voters,1/22/2019,41.42202,54.445190000000004,1,22,2019
695,All polls,1/22/2019,40.160709999999995,54.986169999999994,1,22,2019
696,Voters,1/21/2019,41.33651,54.73135,1,21,2019
697,Adults,1/21/2019,39.07627,55.55013,1,21,2019
698,All polls,1/21/2019,39.972429999999996,55.281780000000005,1,21,2019
699,Voters,1/20/2019,41.42671,54.59335,1,20,2019
700,Adults,1/20/2019,39.106,55.55056,1,20,2019
701,All polls,1/20/2019,40.04978,55.200790000000005,1,20,2019
702,Voters,1/19/2019,41.39695,54.51344,1,19,2019
703,Adults,1/19/2019,39.06089,55.50785,1,19,2019
704,All polls,1/19/2019,40.00951,55.16333,1,19,2019
705,Voters,1/18/2019,41.39695,54.51344,1,18,2019
706,Adults,1/18/2019,39.06089,55.50785,1,18,2019
707,All polls,1/18/2019,40.00951,55.16333,1,18,2019
708,Voters,1/17/2019,41.28986,54.58846,1,17,2019
709,Adults,1/17/2019,39.029309999999995,55.45871999999999,1,17,2019
710,All polls,1/17/2019,39.937940000000005,55.184380000000004,1,17,2019
711,Voters,1/16/2019,41.31862,54.48079,1,16,2019
712,Adults,1/16/2019,39.44763,54.935959999999994,1,16,2019
713,All polls,1/16/2019,40.18261,54.89212,1,16,2019
714,Voters,1/15/2019,41.86878,54.01814,1,15,2019
715,Adults,1/15/2019,40.070890000000006,54.59599,1,15,2019
716,All polls,1/15/2019,40.8077,54.47945,1,15,2019
717,All polls,1/14/2019,40.72627,54.379690000000004,1,14,2019
718,Adults,1/14/2019,40.08126,54.5193,1,14,2019
719,Voters,1/14/2019,41.66304,54.11945,1,14,2019
720,Adults,1/13/2019,39.70861,54.67443000000001,1,13,2019
721,Voters,1/13/2019,41.818059999999996,53.88078,1,13,2019
722,All polls,1/13/2019,40.50577,54.324180000000005,1,13,2019
723,Voters,1/12/2019,41.91363,53.758680000000005,1,12,2019
724,Adults,1/12/2019,40.43567,54.13609,1,12,2019
725,All polls,1/12/2019,40.99324,53.9366,1,12,2019
726,Adults,1/11/2019,40.41727,54.0993,1,11,2019
727,Voters,1/11/2019,41.913109999999996,53.753069999999994,1,11,2019
728,All polls,1/11/2019,40.98552,53.90371,1,11,2019
729,Voters,1/10/2019,41.92067,53.682809999999996,1,10,2019
730,Adults,1/10/2019,40.4232,54.1909,1,10,2019
731,All polls,1/10/2019,40.99633,53.914390000000004,1,10,2019
732,Voters,1/9/2019,42.00117,53.61448000000001,1,9,2019
733,Adults,1/9/2019,40.43377,54.130430000000004,1,9,2019
734,All polls,1/9/2019,41.0979,53.82323,1,9,2019
735,Voters,1/8/2019,42.00666,53.54546,1,8,2019
736,Adults,1/8/2019,40.56102,54.09016999999999,1,8,2019
737,All polls,1/8/2019,41.07297,53.77522,1,8,2019
738,Voters,1/7/2019,42.228809999999996,53.442890000000006,1,7,2019
739,Adults,1/7/2019,40.83181,53.87444,1,7,2019
740,All polls,1/7/2019,41.25354,53.64553000000001,1,7,2019
741,Adults,1/6/2019,40.936170000000004,53.660790000000006,1,6,2019
742,Voters,1/6/2019,42.26724,53.467569999999995,1,6,2019
743,All polls,1/6/2019,41.392379999999996,53.48969,1,6,2019
744,Voters,1/5/2019,42.26724,53.467569999999995,1,5,2019
745,Adults,1/5/2019,40.936170000000004,53.660790000000006,1,5,2019
746,All polls,1/5/2019,41.392379999999996,53.48969,1,5,2019
747,Adults,1/4/2019,40.95282,53.58541999999999,1,4,2019
748,Voters,1/4/2019,42.320240000000005,53.36796,1,4,2019
749,All polls,1/4/2019,41.393609999999995,53.43796999999999,1,4,2019
750,Voters,1/3/2019,42.31845,53.332919999999994,1,3,2019
751,Adults,1/3/2019,40.95282,53.58541999999999,1,3,2019
752,All polls,1/3/2019,41.41052,53.39726999999999,1,3,2019
753,Voters,1/2/2019,42.34768,53.35385,1,2,2019
754,Adults,1/2/2019,40.903909999999996,53.58268,1,2,2019
755,All polls,1/2/2019,41.37045,53.455090000000006,1,2,2019
756,Voters,1/1/2019,42.504090000000005,53.189769999999996,1,1,2019
757,Adults,1/1/2019,41.14145,53.42892,1,1,2019
758,All polls,1/1/2019,41.44894,53.39114,1,1,2019
759,Adults,12/31/2018,41.189890000000005,53.38986,12,31,2018
760,Voters,12/31/2018,42.568659999999994,53.09455,12,31,2018
761,All polls,12/31/2018,41.45969,53.3708,12,31,2018
762,Adults,12/30/2018,41.13201,53.4039,12,30,2018
763,Voters,12/30/2018,42.51141,53.14865,12,30,2018
764,All polls,12/30/2018,41.42773,53.36136,12,30,2018
765,Voters,12/29/2018,42.50721,53.037380000000006,12,29,2018
766,Adults,12/29/2018,41.13805,53.289390000000004,12,29,2018
767,All polls,12/29/2018,41.41588,53.28873000000001,12,29,2018
768,Adults,12/28/2018,41.28329,53.190540000000006,12,28,2018
769,Voters,12/28/2018,42.49585,52.94865,12,28,2018
770,All polls,12/28/2018,41.47333,53.24946,12,28,2018
771,Voters,12/27/2018,42.5213,52.92836,12,27,2018
772,Adults,12/27/2018,41.28329,53.190540000000006,12,27,2018
773,All polls,12/27/2018,41.492309999999996,53.23375,12,27,2018
774,Voters,12/26/2018,42.50584,52.972190000000005,12,26,2018
775,Adults,12/26/2018,41.13368,53.25821,12,26,2018
776,All polls,12/26/2018,41.411609999999996,53.27226999999999,12,26,2018
777,Voters,12/25/2018,43.00541,52.460809999999995,12,25,2018
778,Adults,12/25/2018,41.3329,53.44158,12,25,2018
779,All polls,12/25/2018,41.898309999999995,52.983419999999995,12,25,2018
780,Adults,12/24/2018,41.3157,53.378609999999995,12,24,2018
781,Voters,12/24/2018,43.04998,52.4295,12,24,2018
782,All polls,12/24/2018,41.888529999999996,52.94602,12,24,2018
783,Voters,12/23/2018,43.228770000000004,52.239540000000005,12,23,2018
784,Adults,12/23/2018,41.54923,53.18558,12,23,2018
785,All polls,12/23/2018,42.16323,52.8024,12,23,2018
786,Voters,12/22/2018,43.228770000000004,52.239540000000005,12,22,2018
787,Adults,12/22/2018,41.54923,53.18558,12,22,2018
788,All polls,12/22/2018,42.16323,52.8024,12,22,2018
789,Voters,12/21/2018,43.19737,52.218070000000004,12,21,2018
790,Adults,12/21/2018,41.6064,53.067890000000006,12,21,2018
791,All polls,12/21/2018,42.20303,52.71331,12,21,2018
792,Voters,12/20/2018,43.11878,52.276509999999995,12,20,2018
793,Adults,12/20/2018,41.50785,52.77949,12,20,2018
794,All polls,12/20/2018,42.113820000000004,52.583830000000006,12,20,2018
795,Voters,12/19/2018,43.08582,52.1537,12,19,2018
796,Adults,12/19/2018,41.47917,52.72346999999999,12,19,2018
797,All polls,12/19/2018,42.08572,52.42895,12,19,2018
798,Voters,12/18/2018,43.58849,51.99868,12,18,2018
799,Adults,12/18/2018,41.60646,52.74824,12,18,2018
800,All polls,12/18/2018,42.45143,52.30546,12,18,2018
801,Voters,12/17/2018,43.29996,52.19585,12,17,2018
802,Adults,12/17/2018,41.179320000000004,52.984390000000005,12,17,2018
803,All polls,12/17/2018,42.237109999999994,52.35799,12,17,2018
804,Adults,12/16/2018,41.51873,52.547109999999996,12,16,2018
805,Voters,12/16/2018,43.35625,51.97405,12,16,2018
806,All polls,12/16/2018,42.52533,51.997409999999995,12,16,2018
807,All polls,12/15/2018,42.50179,51.683240000000005,12,15,2018
808,Voters,12/15/2018,43.34373,51.97961,12,15,2018
809,Adults,12/15/2018,41.38058,52.04842,12,15,2018
810,Voters,12/14/2018,43.34373,51.97961,12,14,2018
811,Adults,12/14/2018,41.38058,52.04842,12,14,2018
812,All polls,12/14/2018,42.50179,51.683240000000005,12,14,2018
813,Adults,12/13/2018,41.21475,51.94945,12,13,2018
814,Voters,12/13/2018,43.470620000000004,51.73734,12,13,2018
815,All polls,12/13/2018,42.47837,51.58088,12,13,2018
816,Voters,12/12/2018,43.29251,51.97773,12,12,2018
817,Adults,12/12/2018,41.327890000000004,52.3196,12,12,2018
818,All polls,12/12/2018,42.49492,51.94299,12,12,2018
819,Voters,12/11/2018,42.74178,51.88388,12,11,2018
820,Adults,12/11/2018,41.03597,52.4451,12,11,2018
821,All polls,12/11/2018,41.92131,51.94378,12,11,2018
822,Voters,12/10/2018,43.47831,52.288740000000004,12,10,2018
823,Adults,12/10/2018,41.41085,52.5799,12,10,2018
824,All polls,12/10/2018,42.24026,52.46934,12,10,2018
825,Adults,12/9/2018,41.53585,52.08897,12,9,2018
826,Voters,12/9/2018,43.567009999999996,52.0468,12,9,2018
827,All polls,12/9/2018,42.360490000000006,52.107490000000006,12,9,2018
828,Voters,12/8/2018,43.44135,51.9887,12,8,2018
829,Adults,12/8/2018,41.45955,52.0139,12,8,2018
830,All polls,12/8/2018,42.20935,52.08282,12,8,2018
831,Voters,12/7/2018,43.415459999999996,51.9128,12,7,2018
832,Adults,12/7/2018,41.484840000000005,51.91557,12,7,2018
833,All polls,12/7/2018,42.22135,52.026579999999996,12,7,2018
834,Voters,12/6/2018,43.322759999999995,52.16639,12,6,2018
835,Adults,12/6/2018,41.267590000000006,52.21886,12,6,2018
836,All polls,12/6/2018,42.04987,52.33398,12,6,2018
837,Voters,12/5/2018,43.86594,51.2907,12,5,2018
838,Adults,12/5/2018,41.31243,52.01647,12,5,2018
839,All polls,12/5/2018,42.34926,51.7474,12,5,2018
840,Voters,12/4/2018,43.61461,51.5563,12,4,2018
841,Adults,12/4/2018,41.25144,52.30512,12,4,2018
842,All polls,12/4/2018,42.210190000000004,52.10042,12,4,2018
843,Voters,12/3/2018,44.04657,51.16261,12,3,2018
844,Adults,12/3/2018,41.46508,52.264759999999995,12,3,2018
845,All polls,12/3/2018,42.37833,52.03395,12,3,2018
846,Voters,12/2/2018,44.318740000000005,51.39655,12,2,2018
847,Adults,12/2/2018,41.49432,53.37064,12,2,2018
848,All polls,12/2/2018,42.541059999999995,52.68478,12,2,2018
849,Adults,12/1/2018,41.47535,53.3846,12,1,2018
850,Voters,12/1/2018,44.33083,51.382509999999996,12,1,2018
851,All polls,12/1/2018,42.44656,52.74994,12,1,2018
852,Adults,11/30/2018,41.65052,53.209430000000005,11,30,2018
853,Voters,11/30/2018,44.39586,51.28436,11,30,2018
854,All polls,11/30/2018,42.565129999999996,52.63137,11,30,2018
855,Voters,11/29/2018,44.3835,51.23285,11,29,2018
856,Adults,11/29/2018,41.45345,53.13,11,29,2018
857,All polls,11/29/2018,42.449909999999996,52.561809999999994,11,29,2018
858,Adults,11/28/2018,41.45221,53.13449,11,28,2018
859,Voters,11/28/2018,44.46817,51.18842,11,28,2018
860,All polls,11/28/2018,42.50261,52.5369,11,28,2018
861,Voters,11/27/2018,44.575390000000006,51.21335,11,27,2018
862,Adults,11/27/2018,41.783840000000005,53.17499,11,27,2018
863,All polls,11/27/2018,42.750890000000005,52.54955,11,27,2018
864,Voters,11/26/2018,44.24561,51.66513,11,26,2018
865,Adults,11/26/2018,41.489909999999995,53.540780000000005,11,26,2018
866,All polls,11/26/2018,42.535270000000004,52.86918000000001,11,26,2018
867,All polls,11/25/2018,42.907140000000005,52.29786,11,25,2018
868,Adults,11/25/2018,42.05087,52.69595,11,25,2018
869,Voters,11/25/2018,44.24561,51.66513,11,25,2018
870,Adults,11/24/2018,42.063590000000005,52.69842,11,24,2018
871,All polls,11/24/2018,42.88264,52.30319,11,24,2018
872,Voters,11/24/2018,44.24029,51.62688,11,24,2018
873,Adults,11/23/2018,42.063590000000005,52.69842,11,23,2018
